,Company Name,Company Category,Company Address,Company Locality,Company Phone Number,Company Fax Number,Company Website,Company Email
22,"Somerset Wood Products, Inc.",Distribution/Concentration Yard,P. O. Box 991,"Burnside, KY 42519",(606)561-4146 ,(606)561-6337 ,www.somersetwood.com ,
23,Superior Lumber LLC,Distribution/Concentration Yard,1003 TR 660,"Dundee, OH 44624",(330)275-0343 ,(330)359-0559 ,,mm@superiorkd.com 
24,Tropical Forest Products,Distribution/Concentration Yard,3330 Caroga Dr.,"Mississauga, ON L4V 1L4",(855)344-4500 ,(866)206-1740 ,,info@tfpwood.com 
25,W. M. Cramer Lumber Co.,Distribution/Concentration Yard,245 Wilbanks Drive,"Ball Ground, GA 30107",(770)479-9663 ,(770)479-9036 ,www.cramerlumber.com ,
26,W. M. Cramer Lumber Co.,Distribution/Concentration Yard,P. O. Box 2888,"Hickory, NC 28603",(828)397-7481 (828)397-3763 ,,www.cramerlumber.com ,
27,BlueLinx Corp. ,Distribution/Concentration Yard,,"Grandview, MO",(816)965-5511 ,(816)965-5575 ,,
28,BlueLinx Corp. ,Distribution/Concentration Yard,,"Monroe, LA",(318)387-0671 ,(318)387-0709 ,,matt.lyle@bluelinxco.com 
29,BlueLinx Corp. ,Distribution/Concentration Yard,,"Oklahoma City, OK",(405)917-8300 ,(405)947-5812 ,,
30,BlueLinx Corp. ,Distribution/Concentration Yard,,"Carrollton, TX",(972)323-5117 ,(972)323-5131 ,,
31,BlueLinx Corp. ,Distribution/Concentration Yard,,"Houston, TX",(713)921-1977 ,(713)921-1975 ,,
32,BlueLinx Corp. ,Distribution/Concentration Yard,,"West Birmingham, AL",(205)458-7900 ,(205)458-7990 ,,
33,BlueLinx Corp. ,Distribution/Concentration Yard,,"North Little Rock, AR",(501)375-2744 ,(501)374-2806 ,,
34,"Bohannon Lumber Co., Inc. ",Distribution/Concentration Yard,,"Orange, CA",(714)633-3871 ,(714)633-8285 ,,bolumber@sbcglobal.net 
35,Boss Lumber Corporation ,Distribution/Concentration Yard,,"Galax, VA",(276)238-3346 ,(276)238-3348 ,,jmjimenez@tamalsa.com 
36,Brazos Forest Products ,Distribution/Concentration Yard,,"Houston, TX",(713)329-5870 ,(713)329-5871 ,,houston@brazosfp.com 
37,Brazos Forest Products ,Distribution/Concentration Yard,,"Grand Prairie, TX",8007722777 ,9726020224 ,,
38,Brenneman Lumber Co. ,Distribution/Concentration Yard,,"Mt. Vernon, OH",(740)397-0573 ,(740)392-9498 ,,info@brennemanlumber.com 
39,"Bryant Church Hardwoods, Inc. ",Distribution/Concentration Yard,,"Wilkesboro, NC",(800)973-3380 ,(336)973-7993 ,,
40,"Buchanan Lumber Mobile, Inc. ",Distribution/Concentration Yard,,"Mobile, AL",(251)433-9567 ,(251)433-9570 ,,
41,Builders FirstSource ,Distribution/Concentration Yard,,"Spanaway, WA",(253)926-6844 ,(253)922-9137 ,,russ.turner@bldr.com 
42,C and A Wood Products ,Distribution/Concentration Yard,,"Detroit, MI",(313)365-8400 ,(313)365-5970 ,,
43,"C-Wood Lumber, Inc. ",Distribution/Concentration Yard,,"Collinwood, TN",(931)724-9174 ,(931)724-5121 ,,bsandusky@cwoodlumber.com 
44,"C. A. Spencer, Inc. ",Distribution/Concentration Yard,,"Laval, QC",(450)622-2420 ,(450)628-2632 ,,mcadrin@caspencer.ca 
45,C. R. Muterspaw Lumber ,Distribution/Concentration Yard,,"Xenia, OH",(937)572-663 ,,,sales@crlumber.com 
46,"Calion Lumber Company, Inc. ",Distribution/Concentration Yard,,"Calion, AR",(870)748-2411 ,(870)748-2577 ,,calionlumber@sbcglobal.net 
47,Central Hardwoods ,Distribution/Concentration Yard,,"Dallas, TX",9722413571 ,9724084142 ,,sales@centralhardwoods.com 
48,Centre Pallets ,Distribution/Concentration Yard,,"Rebersburg, PA",8144701123 ,(814)349-2243 ,,
49,"Chaney Lumber Company, Inc. ",Distribution/Concentration Yard,,"London, KY",(606)864-7375 ,(606)864-7355 ,,chaneylumber@windstream.net 
50,Charles F. Shiels & Co. ,Distribution/Concentration Yard,,"Cincinnati, OH",(513)241-0239 ,(513)241-1205 ,,
51,"Cherokee Wood Products, Inc. ",Distribution/Concentration Yard,,"Upland, CA",(909)920-5430 ,(909)920-5059 ,,
52,"Cherry Hill Hardwoods, Inc. ",Distribution/Concentration Yard,,"Richfield, PA",(717)694-3082 ,(717)694-3300 ,,hoffmanch@hotmail.com 
53,Chisholm Lumber ,Distribution/Concentration Yard,,"Roslin, ON",(613)477-2920 ,(613)477-2112 ,,sales@chisholmlumber.com 
54,Clark's Hardwood Lumber Company ,Distribution/Concentration Yard,,"Houston, TX",(713)862-6628 ,(713)862-5673 ,,sales@clarkshardwood.com 
55,"Classic American Hardwoods, Inc. ",Distribution/Concentration Yard,,"Memphis, TN",(901)522-9663 ,(901)522-9664 ,,
56,"Cobble Creek Lumber, Inc. ",Distribution/Concentration Yard,,"West Jefferson, NC",(336)246-7006 ,3362833278 ,,
57,Continental Hardwood Co. ,Distribution/Concentration Yard,,"Portland, OR",(503)281-1212 ,(503)281-2791 ,,tgoben@continentalhardwood.com 
58,"Cornelius Lumber Co., Inc. ",Distribution/Concentration Yard,,"Cherokee, AL",(256)360-2644 ,(256)360-2640 ,,
59,Crossville Hardwoods ,Distribution/Concentration Yard,,"Crossville, TN",(931)456-1802 ,(931)456-2691 ,,
60,"Cypress Wood & Lumber, LLC ",Distribution/Concentration Yard,,"Maringouin, LA",(225)625-2396 ,(225)625-2356 ,,
61,"Dakota Premium Hardwoods, LLC ",Distribution/Concentration Yard,,"Waco, TX",(254)772-9663 ,(254)772-9664 ,,
62,"Denton Hardwoods, Inc. ",Distribution/Concentration Yard,,"Denton, NC",(336)857-9190 ,(336)857-9290 ,,dentonhardwoods@rtmc.net 
63,Dixie Plywood & Lumber Company ,Distribution/Concentration Yard,,"Duluth, GA",(678)957-4500 ,(770)623-1245 ,,
64,Dixie Plywood & Lumber Company ,Distribution/Concentration Yard,,"Savannah, GA",(912)447-7000 ,(912)232-3199 ,,
65,Dooley Lumber Company ,Distribution/Concentration Yard,,"Long Beach, CA",(949)230-9468 ,,,dooleylumberco@outlook.com 
66,Dry Forest Wood Products ,Distribution/Concentration Yard,,"Shipshewana, IN",(260)302-6015 ,(260)768-7320 ,,vern.neff@dryforestwoodproducts.com 
67,Durango Wood Company ,Distribution/Concentration Yard,,"Durango, CO",(970)247-2088 ,(970)259-7128 ,,
68,"Eagle Hardwoods, Inc. ",Distribution/Concentration Yard,,"Stone Creek, OH",(330)339-8838 ,(330)339-9834 ,,
69,East Coast Mouldings ,Distribution/Concentration Yard,,"Loxley, AL",2519644890 ,,,
70,East Ohio Lumber Co. ,Distribution/Concentration Yard,,"Salineville, OH",(330)679-2394 ,(330)679-2206 ,,
71,Elder Hardwoods ,Distribution/Concentration Yard,,"Kirbyville, TX",(409)423-2561 ,(409)423-2595 ,,
72,Emerson Hardwood Company ,Distribution/Concentration Yard,,"Portland, OR",(503)227-6414 ,(503)227-2976 ,,jbaumann@emersonhardwood.com 
73,"Endeavor Hardwoods, Inc. ",Distribution/Concentration Yard,,"Lyndon Station, WI",(608)666-2446 ,(608)666-2447 ,,tclisch@endeavorhardwoods.com 
74,Ericson Log & Lumber Co. ,Distribution/Concentration Yard,,"New Windsor, IL",(309)667-2149 (800)552-0827 ,(309)667-2140 ,,windsor_woods@comcast.net 
75,"Fine Lumber & Plywood, Inc. ",Distribution/Concentration Yard,,"Austin, TX",(512)836-8990 ,(512)836-9796 ,,
76,"Fitzpatrick & Weller, Inc. ",Distribution/Concentration Yard,,"Ellicottville, NY",(716)699-2393 ,(716)699-2893 ,,sales@fitzweller.com 
77,"Forcey Lumber Company, Inc. ",Distribution/Concentration Yard,,"Woodland, PA",(814)857-5002 ,(814)857-5000 ,,
78,"Forcey Lumber Company, Inc. ",Distribution/Concentration Yard,,"Woodland, PA",(814)857-5002 ,(814)857-5000 ,,
79,"Forest Products Distributors, Inc. ",Distribution/Concentration Yard,,"Rapid City, SD",(605)341-6500 ,(605)341-1976 ,,
80,"Foxwood, Inc. ",Distribution/Concentration Yard,,"Trevilians, VA",(540)967-4885 ,(540)967-4886 ,,foxwoodinc@gmail.com 
81,Frank Paxton Lumber Co. ,Distribution/Concentration Yard,,"Kansas City, MO",(816)483-7000 ,(816)241-5110 ,,
82,"Freeman Wood Products, inc. ",Distribution/Concentration Yard,,"Centerville, TN",(931)729-5171 ,(931)729-9411 ,,
83,Frost Hardwood Lumber Company ,Distribution/Concentration Yard,,"San Diego, CA",(858)455-9060 ,(858)455-0455 ,,
84,Gaylord Forest Products Ltd. ,Distribution/Concentration Yard,,"Tweed, ON",(613)478-5301 ,(613)478-6776 ,,lewis@gaylordhardwoodflooring.com 
85,General Hardwood Company ,Distribution/Concentration Yard,,"Detroit, MI",(313)365-7733 ,(313)365-9696 ,,info@generalhardwood.com 
86,Graham Lumber Company ,Distribution/Concentration Yard,,"Linden, TN",(931)589-2143 ,(931)589-5914 ,,
87,"Granite Hardwoods, Inc. ",Distribution/Concentration Yard,,"Granite Falls, NC",(828)396-3395 ,(828)396-8182 ,,woody@granitehardwoods.com 
88,"Hardwood Industries, Inc. ",Distribution/Concentration Yard,,"Sherwood, OR",(503)692-6620 ,(503)692-3609 ,,klandwehr@hardwoodind.com 
89,"Hardwood Lumber Co. of Dallas, Inc. ",Distribution/Concentration Yard,,"Dallas, TX",(972)869-1230 ,(972)869-1342 ,,tom@hlcdallas.com 
90,Hardwoods of Wiscosin ,Distribution/Concentration Yard,,"Elkhorn, WI",(262)723-4515 ,(262)723-1315 ,,
91,Hardwoods Specialty Products USLP ,Distribution/Concentration Yard,,"Calgary, AB",(403)236-9100 ,(403)236-9680 ,,
92,"Hatchie Hardwood Lumber Co., Inc. ",Distribution/Concentration Yard,,"Pocahontas, TN",(731)376-1747 ,(731)376-8108 ,,jim@hatchiehardwoodlumber.com 
93,Heidler Hardwood Lumber Co. ,Distribution/Concentration Yard,,"Chicago, IL",(773)847-7444 ,(773)847-7833 ,,
94,"Henry County Hardwoods, Inc. ",Distribution/Concentration Yard,,"Paris, TN",(731)642-4181 (800)806-9609 ,(731)642-4665 ,,
95,"Heppner Hardwoods, Inc. ",Distribution/Concentration Yard,,"Azusa, CA",(626)969-7983 ,(626)969-8321 ,,
96,"Heritage Forest Products, Inc. ",Distribution/Concentration Yard,,"Deland, FL",(386)738-2811 ,(386)738-4171 ,,
97,Hi Tech Dry Kiln Co. LLC ,Distribution/Concentration Yard,,"Belington, WV",(304)823-2354 ,(304)823-2355 ,,hitechdrykilnco@frontier.com 
98,"Highland Hardwoods, Div. Ridgewood Lumber Sales ",Distribution/Concentration Yard,,"Kingston, NH",(603)679-1812 ,(603)679-1960 ,,
99,Holt & Bugbee Company ,Distribution/Concentration Yard,,"Tewksbury, MA",(978)851-7201 (800)325-6010 ,(978)851-3941 (978)640-0596 ,,sales@holtandbugbee.com 
100,"Homer Gregory & Company, Inc. ",Distribution/Concentration Yard,,"Morehead, KY",(606)784-4707 ,(606)784-3109 ,,
101,Hood Distribution / McEwen Group ,Distribution/Concentration Yard,,"Jacksonville, FL",9047830170 ,9047831577 ,,
102,Hood Distribution / McEwen Group ,Distribution/Concentration Yard,,"Hattiesburg, MS",(601)264-2962 ,(601)296-4766 ,,
103,Hood Distribution / McEwen Group ,Distribution/Concentration Yard,,"Raleigh, NC",(919)772-7550 ,(919)772-1356 ,,raleigh@hooddistribution.com 
104,"Horizon Forest Products, Inc. ",Distribution/Concentration Yard,,"Raleigh, NC",(919)719-0877 (800)567-1708 ,(919)719-0878 ,,
105,Horn Lumber Company ,Distribution/Concentration Yard,,"Cicero, IL",(773)847-7397 ,,,jason.horn@hornlumber.com 
106,"Hughes Hardwood Interantional, Inc. ",Distribution/Concentration Yard,,"Collinwood, TN",(931)724-6258 ,(931)724-6259 ,,hhii@netease.net 
107,Hughes Hardwoods ,Distribution/Concentration Yard,,"Chico, CA",(530)343-8746 ,,,
108,Hurford Hardwoods USA ,Distribution/Concentration Yard,,"Winchester, VA",(540)869-5661 ,(540)869-5656 ,,
109,Indianapolis Wood Products Inc. ,Distribution/Concentration Yard,,"Scottsburg, IN",(812)752-6944 ,(812)752-6808 ,,iwp@iglou.com 
110,"Industrial Lumber & Plywood, Inc. ",Distribution/Concentration Yard,,"Minneapolis, MN",(612)521-4767 (800)292-4118 ,(612)521-4785 ,,sales@industriallumber.net 
111,"Iola Lumber Co., Inc. ",Distribution/Concentration Yard,,"Millville, PA",(570)458-5564 ,,,iolalumber@pa.metrocast.net 
112,J. E. Jones Lumber Company ,Distribution/Concentration Yard,,"Montpelier, VA",(804)883-6331 ,(804)883-7538 ,,
113,J. Gibson McIlvain Company ,Distribution/Concentration Yard,,"White Marsh, MD",(410)335-9600 (800)638-9100 ,(410)335-3574 ,,info@mcilvain.com 
114,J. Gibson McIlvain Company ,Distribution/Concentration Yard,,"Danielson, CT",(860)774-4930 (800)231-7061 ,(860)774-4790 ,,
115,"J. M. Champeau, Inc. ",Distribution/Concentration Yard,,"St-Malo, QC",(819)658-2244 ,(819)658-2128 ,,kaven@champeau.com 
116,JKW Lumber Company ,Distribution/Concentration Yard,,"Ridgefield, WA",(360)433-0734 ,(360)433-0737 ,,jw@jkwlumber.com 
117,"Kamps Hardwoods, Inc. ",Distribution/Concentration Yard,,"Dutton, MI",(616)554-9339 ,(616)554-9779 ,,
118,Keiver-Willard Lumber Corp. ,Distribution/Concentration Yard,,"Newburyport, MA",(978)462-7193 (800)733-1999 ,(978)465-6631 ,,
119,"Koetter Woodworking, Inc. ",Distribution/Concentration Yard,,"Borden, IN",(812)923-8875 ,(800)411-8285 ,,
120,"Konkel Custom Woodworks, Inc. ",Distribution/Concentration Yard,,"Rockland, WI",(608)486-2301 ,(608)486-2302 ,,kdredoak@aol.com 
121,Lawrence Lumber Company Inc. ,Distribution/Concentration Yard,,"Maiden, NC",(828)428-5601 ,(828)428-5602 ,,
122,"Liberty Hardwoods, Inc. ",Distribution/Concentration Yard,,"Kansas City, MO",(816)231-0852 (888)908-0852 ,(816)231-0738 ,,
123,"Little River Hardwoods, Div. of Midwest Hardwood Corp. ",Distribution/Concentration Yard,,"Cadiz, KY",(270)522-5959 ,,,inquiries@midwesthardwood.com 
124,"Lumber Jack Hardwoods, Inc. ",Distribution/Concentration Yard,,"Menominee, MI",(906)863-7090 ,(906)863-2235 ,,lumberjackhardwoods@gmail.com 
125,"Lumber Resources, Inc. ",Distribution/Concentration Yard,,"Quebec, QC",(418)624-0404 ,(418)624-1008 ,,pleblanc@rlumber.ca 
126,"M. D. Harmon, Inc. ",Distribution/Concentration Yard,,"Xenia, IL",(618)662-8925 ,(618)662-3027 ,,
127,MacBeath Hardwood Company ,Distribution/Concentration Yard,,"San Francisco, CA",(415)647-0782 (800)233-0782 *CA&NV ,(415)647-7766 ,,
128,MacBeath Hardwood Company ,Distribution/Concentration Yard,,"Edinburgh, IN",(812)526-9743 (800)322-9743 ,(812)526-6032 ,,edinburgh@macbeath.com 
129,MacBeath Hardwood Company ,Distribution/Concentration Yard,,"Edinburgh, IN",(812)526-9743 (800)322-9743 ,(812)526-6032 ,,edinburgh@macbeath.com 
130,MacDonald & Owen Lumber Co. ,Distribution/Concentration Yard,,"Luck, WI",(715)472-7300 (800)657-6990 ,(608)269-4418 ,,
131,MacDonald & Owen Lumber Co. ,Distribution/Concentration Yard,,"Bowling Green, KY",(888)588-0913 ,,,
132,MacDonald & Owen Lumber Co. ,Distribution/Concentration Yard,,"Sparta, WI",(608)269-4417 (800)657-6990 ,(608)269-4418 ,,adam@hardwoodlumber.net 
133,MacDonald & Owen Lumber Co. ,Distribution/Concentration Yard,,"Brookville, PA",(888)588-0913 ,(855)664-8249 ,,
134,"Madison Lumber, Inc. ",Distribution/Concentration Yard,,"Huntsville, AL",(256)533-6044 ,(256)533-6125 ,,
135,"Maley & Wertz, Inc. ",Distribution/Concentration Yard,,"Evansville, IN",(812)425-3358 ,(812)425-5756 ,,hardwoods@maleyandwertz.com 
136,"Martin's Native Lumber, Inc. ",Distribution/Concentration Yard,,"Dayton, VA",(540)879-2518 ,(540)879-2510 ,,
137,"Mason's Mill and Lumber Co., Inc. ",Distribution/Concentration Yard,,"Houston, TX",(713)462-6975 ,(713)462-6970 ,,
138,Matson Lumber Company ,Distribution/Concentration Yard,,"Brookville, PA",(814)849-5334 ,(814)849-3811 ,,info@matsonlumber.com 
139,Mayfield Lumber Company ,Distribution/Concentration Yard,,"McMinnville, TN",(931)668-3252 ,(931)668-2363 ,,mayfieldlbr@blomand.net 
140,Menzner Lumber & Supply ,Distribution/Concentration Yard,,"West Union, SC",(864)638-9515 ,(864)638-2611 ,,
141,"Meridien Hardwoods of PA, Inc. ",Distribution/Concentration Yard,,"Pittsfield, PA",(814)563-4614 ,(814)563-4624 ,,meridien@penn.com 
142,Metrie ,Distribution/Concentration Yard,,"Anchorage, AK",(907)278-9546 ,(907)258-2545 ,,
143,"Metrie, Lexington Mfg. ",Distribution/Concentration Yard,,"Jeffersonville, KY",(859)497-0017 ,(859)497-0043 ,,
144,Middle Tennessee Lumber Company ,Distribution/Concentration Yard,,"Burns, TN",(800)442-3461 ,(615)446-2048 ,,sales@midtnlumber.com 
145,Miller Lumber ,Distribution/Concentration Yard,,"LaGrange, IN",2604632650 ,(260)463-8197 ,,
146,"Miller Marquart Lumber Co., LLC ",Distribution/Concentration Yard,,"Gainesville, NY",(716)694-4300 ,(716)694-0966 ,,
147,"Minton Sales, Inc. ",Distribution/Concentration Yard,,"Lenoir, NC",(828)754-0229 ,(828)754-1940 ,,mintonsales@earthlink.net 
148,Mount Storm Forest Products ,Distribution/Concentration Yard,,"Windsor, CA",(707)838-3177 ,(707)838-4413 ,,
149,"Musser Lumber Company, Inc. ",Distribution/Concentration Yard,,"Rural Retreat, VA",(276)686-5113 ,(276)686-5169 ,,ed@musserlumber.com 
150,Nashville Plywood ,Distribution/Concentration Yard,,"Nashville, TN",(800)743-5459 ,(615)320-0364 ,,sales@nashvilleplywood.com 
151,"National Wood Products, Inc. ",Distribution/Concentration Yard,,"Salt Lake City, UT",(801)977-1171 (800)826-0344 ,(801)977-1163 ,,
152,"National Wood Products, Inc. ",Distribution/Concentration Yard,,"Denver, CO",(303)293-8660 (800)428-4712 ,(303)293-2275 ,,
153,Nevada County Hardwoods ,Distribution/Concentration Yard,,"Grass Valley, CA",(530)273-3318 ,(530)273-8561 ,,gwlumbersales@aol.com 
154,North American Forest Products ,Distribution/Concentration Yard,,"Edwardsburg, MI",(269)663-8500 ,(269)663-2073 ,,
155,"North River Wood Products, Inc. ",Distribution/Concentration Yard,,"Tuscaloosa, AL",(205)343-0458 ,(205)343-0459 ,,
156,"North State Hardwoods, Inc. ",Distribution/Concentration Yard,,"N. Wilkesboro, NC",(336)838-1117 ,(336)838-2117 ,,scott@northstatehardwoods.com 
157,"Northern Forest Products, LLC ",Distribution/Concentration Yard,,"Centerville, MN",(651)429-9990 ,(651)429-9993 ,,sales@lumberpeople.com 
158,"Northern Forest Products, LLC ",Distribution/Concentration Yard,,"Columbus, WI",(262)569-9663 ,(651)429-9993 ,,pmcdowell@lumberpeople.com 
159,Northland Corporation ,Distribution/Concentration Yard,,"Blainville, QC",(450)430-8866 ,(450)430-7149 ,,northlandcorp@hotmail.com 
160,Northland Corporation ,Distribution/Concentration Yard,,"LaGrange, KY",(502)222-2536 (800)873-1441 ,(502)222-5355 ,,
161,"Northland Forest Products, Inc. ",Distribution/Concentration Yard,,"Kingston, NH",(603)642-3665 ,(603)642-8670 ,,contact@northlandforest.com 
162,"Northwest Hardwoods, Inc. ",Distribution/Concentration Yard,,"Currie, NC",(910)283-9960 ,(910)283-9964 ,,
163,"Oaks Unlimited, Inc. ",Distribution/Concentration Yard,,"Waynesville, NC",(828)926-1621 ,(828)926-3383 ,,mail@oaksunlimited.com 
164,"Ohio International Lumber, LLC ",Distribution/Concentration Yard,,"Waverly, OH",(740)941-1300 ,(740)941-1333 ,,
165,"Oliver Lumber, Div. of  Goodfellow, Inc. ",Distribution/Concentration Yard,,"Campbellville, ON",(416)233-1227 ,(416)233-0015 ,,
166,"Olympic Forest Products, Inc. ",Distribution/Concentration Yard,,"Erin, ON",(800)876-7649 ,(519)833-0504 ,,paul.simon@olympicfp.com 
167,Ontario Hardwood Products Ltd. ,Distribution/Concentration Yard,,"Toronto, ON",(416)535-3191 ,(416)531-5858 ,,ohp@ontariohardwood.ca 
168,OrePac Building Products ,Distribution/Concentration Yard,,"Wilsonville, OR",(503)685-5499 ,(503)682-1965 ,,
169,P J Lumber Company ,Distribution/Concentration Yard,,"Prichard, AL",(251)457-6940 ,(251)456-0709 ,,jon.kelly@pjlumber.com 
170,"P. V. International, Inc. ",Distribution/Concentration Yard,,"Dubois, PA",(814)299-9654 ,,,
171,Parton Lumber Co. ,Distribution/Concentration Yard,,"Rutherfordton, NC",(828)287-9669 ,(828)287-9423 ,,
172,"Peach State Lumber Products, Inc. ",Distribution/Concentration Yard,,"Kennesaw, GA",(770)428-3622 ,(770)428-4517 ,,
173,Peacock Lumber Ltd. ,Distribution/Concentration Yard,,"Oshawa, ON",(905)725-4744 ,(905)725-5727 ,,
174,Peak Lumber and Plywood ,Distribution/Concentration Yard,,"Wausau, WI",(800)209-8862 ,,,
175,"Peladeau Lumber, Inc. ",Distribution/Concentration Yard,,"Laval, QC",(450)667-6950 ,(450)667-8523 ,,info@peladeaulumber.com 
176,Penberthy International ,Distribution/Concentration Yard,,"Torrance, CA",(310)567-6060 ,(310)640-6800 ,,garyp@penberthy.com 
177,"Peterman Lumber, Inc. ",Distribution/Concentration Yard,,"Fontana, CA",(909)357-7730 (800)244-1696 ,(909)357-7743 ,,drjpli@aol.com 
178,"Peterman Lumber, Inc. ",Distribution/Concentration Yard,,"Phoenix, AZ",(623)936-2627 ,(623)936-5214 ,,drjpli@aol.com 
179,"Peterman Lumber, Inc. ",Distribution/Concentration Yard,,"Las Vegas, NV",(702)430-3433 ,(702)430-3440 ,,drjpli@aol.com 
180,"Peterman Lumber, Inc. ",Distribution/Concentration Yard,,"Las Vegas, NV",(702)430-3433 ,(702)430-3440 ,,drjpli@aol.com 
181,"PG Forest Products, Inc. ",Distribution/Concentration Yard,,"San Diego, CA",6193971741 ,,,aldo@pgforest.com 
182,Piedmont Hardwood Dry Kiln Co. ,Distribution/Concentration Yard,,"Pleasant Garden, NC",(336)674-2863 ,(336)674-7789 ,,
183,Pigeon Creek Hardwoods ,Distribution/Concentration Yard,,"Whitehall, WI",(715)538-4285 ,(715)538-4505 ,,pigeoncreekhardwoods@gmail.com 
184,"Pike Lumber Company, Inc. ",Distribution/Concentration Yard,,"Akron, IN",(574)893-4511 ,(574)893-7400 ,,sales@pikelumber.com 
185,"Plywood Company of Ft. Worth, Inc. ",Distribution/Concentration Yard,,"Ft. Worth, TX",(817)831-4206 ,(817)838-2081 ,,dpresley@plywoodcompany.com 
186,"Pomeroy Lumber Products, Inc. ",Distribution/Concentration Yard,,"Eufaula, AL",3346872267 ,3346872267 ,,pomeroy@bellsouth.net 
187,Prime Lumber Company ,Distribution/Concentration Yard,,"Thomasville, NC",(336)475-8700 ,(336)475-8750 ,,
188,Primewood ,Distribution/Concentration Yard,,"Drummondville, QC",(819)478-7721 ,(819)478-6636 ,,info@primewood-lumber.com 
189,"PWD, Inc. ",Distribution/Concentration Yard,,"Newton, KS",(316)283-0335 ,(316)283-2334 ,,
